Column Name,Description,Data Type,Allowed Values,Data Coding
ch510_2,Child 2 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_3,Child 3 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_4,Child 4 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_5,Child 5 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_6,Child 6 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_7,Child 7 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_8,Child 8 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_9,Child 9 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_10,Child 10 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_11,Child 11 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_12,Child 12 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_13,Child 13 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_14,Child 14 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_15,Child 15 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_16,Child 16 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_17,Child 17 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
ch510_18,Child 18 new educational degree,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 95, 96, 97",-2=Refusal; -1=Don't know; 1=Education country-specific category 1; 2=Education country-specific category 2; 3=Education country-specific category 3; 4=Education country-specific category 4; 5=Education country-specific category 5; 6=Education country-specific category 6; 7=Education country-specific category 7; 8=Education country-specific category 8; 9=Education country-specific category 9; 10=Education country-specific category 10; 11=Education country-specific category 11; 12=Education country-specific category 12; 13=Education country-specific category 13; 14=Education country-specific category 14; 15=Education country-specific category 15; 16=Education country-specific category 16; 17=Education country-specific category 17; 18=Education country-specific category 18; 19=Education country-specific category 19; 20=Education country-specific category 20; 21=Education country-specific category 21; 22=Education country-specific category 22; 23=Education country-specific category 23; 24=Education country-specific category 24; 25=Education country-specific category 25; 95=No degree yet/still in school; 96=None; 97=Other type (also abroad)
